data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,46766014,,51
2022,47083709,,51
2022,47083711,,51
2022,47083713,,51
2022,47083714,,51
2022,47083717,,52
2022,47083718,,52
2022,47083726,,51
2022,47083729,,51
2022,47083730,,51
2022,47083731,,51
2022,46560217,,51
2022,47083732,,51
2022,47083734,,51
2022,47293183,,51
2022,47583494,,51
2022,47499399,,51
2022,47499400,,51
2022,47499401,,51
2022,47499402,,51
2022,47499403,,51
2022,47499404,,51
2022,47510251,,3
2022,47499405,,51
2022,47499406,,51
2022,45536313,,51
2022,47499407,,51
2022,45644990,,51
2022,47499408,,51
2022,45644991,,51
2022,45458908,,51
2022,47583495,,51
2022,50052734,,51
2022,47499412,,51
2022,47499421,,51
2022,47499424,,51
2022,47499425,,51
2022,47499430,,51
2022,47499432,,51
2022,47499434,,51
2022,47499437,,51
2022,49360670,,51
2022,49360671,,51
2022,49360672,,9
2022,49360673,,51
2022,49360674,,51
2022,49360675,,51
2022,49360676,,51
2022,49360677,,51
2022,49360678,,51
2022,49360679,,51
2022,49360680,,51
2022,47666140,,51
2022,45405404,,51
2022,45662582,,51
2022,45524694,,51
2022,46594718,,51
2022,46889037,,51
2022,46889038,,51
2022,47382601,,51
2022,46560219,,51
2022,45491503,,51
2022,45491504,,51
2022,45497788,,51
2022,45510923,,51
2022,45662583,,51
2022,47583496,,51
2022,47230763,,51
2022,49360681,,51
2022,49360682,,51
2022,49360683,,51
2022,49360684,,51
2022,49360685,,51
2022,49360686,,51
2022,49360687,,51
2022,49360688,,51
2022,49360689,,51
2022,49360690,,51
2022,49360691,,51
2022,49360692,,51
2022,46885807,,51
2022,48187325,,51
2022,45510924,,51
2022,45727269,,51
2022,45644992,,51
2022,47681513,,51
2022,48187326,,51
2022,48187327,,51
2022,48187328,,52
2022,46986697,,51
2022,45510925,,51
2022,48307335,,51
2022,45564173,,51
2022,47230764,,51
2022,47230765,,51
2022,47583497,,51
2022,48564818,,51
2022,48564819,,3
2022,47666141,,51
2022,45628327,,51
2022,45719146,,51
2022,45700763,,51
2022,45644994,,51
2022,47681515,,51
2022,45662584,,51
2022,47376527,,51
2022,47376528,,51
2022,47666142,,51
2022,45662585,,51
2022,45680988,,51
2022,46286194,,51
2022,47266267,,51
2022,45680989,,51
2022,48989501,,51
2022,48187329,,51
2022,48187330,,51
2022,47266268,,51
2022,45765552,,51
2022,48187331,,51
2022,48187332,,51
2022,48187333,,51
2022,48187334,,51
2022,48187335,,51
2022,48187336,,51
2022,48187340,,51
2022,48187341,,51
2022,48187342,,51
2022,48491794,,51
2022,48491795,,51
2022,48491796,,51
2022,48491797,,51
2022,48491798,,51
2022,48491799,,51
2022,48491800,,51
