data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2022,148498099,25,45,,
2022,148498101,52,0,,
2022,148498103,42,972,2022-01-27,
2022,158417579,19,470,,
2022,148498104,42,972,,
2022,148498106,20,10,,
2022,148498107,52,0,,
2022,148498112,36,219,2022-01-31,
2022,158417580,63,1200,,
2022,158417581,8,50,,
2022,148498113,36,219,,
2022,148498115,16,3000,,
2022,158417582,8,172,,
2022,158417583,8,30,,
2022,148498118,63,40,,
2022,158417584,38,1,,
2022,148498120,8,564,,
2022,158417585,63,406,,
2022,148498120,16,27,,
2022,158417586,63,122,2022-09-16,
2022,148618037,51,0,,
2022,158417587,63,2000,,
2022,148618038,36,119,2022-02-02,
2022,148618039,10,,,
2022,148618039,11,1,,
2022,148618039,38,1,,
2022,148618040,36,119,,
2022,148498123,10,1,,
2022,148498123,20,180,,
2022,148498125,20,120,,
2022,148498127,36,298,2022-02-08,
2022,148498128,36,736,,
2022,148498130,52,0,,
2022,150431176,38,1,2022-02-28,
2022,150431177,38,1,,
2022,148498135,61,40,2022-02-10,
2022,148498136,61,40,,
2022,148571380,63,1,,
2022,158417588,19,336,,
2022,158417589,19,50,,
2022,158417590,65,13000,,
2022,158417591,3,500,,
2022,158417592,11,1,,
2022,158417593,8,45,,
2022,158417594,4,250,,
2022,158417595,3,12000,,
2022,158417595,36,2000,,
2022,158417595,51,0,,
2022,158417596,8,210,,
2022,158417597,19,177,,
2022,158417598,19,64,,
2022,158417599,63,200,,
2022,158417600,3,500,,
2022,158417601,3,1000,,
2022,158417602,8,12,,
2022,158417603,63,160,,
2022,158417604,19,457,,
2022,158417605,19,104,2022-09-24,
2022,158417606,19,104,,
2022,158417607,19,104,,
2022,158417608,19,19,,
2022,158417609,8,65,,
2022,158417610,19,79,2022-09-26,
2022,158417611,19,79,,
2022,158417612,19,47,2022-09-28,
2022,148571381,50,10,,
2022,148571382,21,1,,
2022,148571383,20,1000,,
2022,148571384,7,160,2022-02-18,
2022,148571384,16,175,2022-02-18,
