data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,170154610,174960984,26,
2022,170154613,174960987,3,
2022,164108184,168967434,5,
2022,170875741,175677102,18,
2022,170154555,174960930,18,
2022,174929809,179680165,18,
2022,162824078,167691914,24,
2022,170875742,175677103,16,
2022,170875743,175677104,21,
2022,167172734,171998486,18,
2022,174929815,179680171,24,
2022,172999069,177771385,16,
2022,170966371,175766933,3,
2022,170950632,175751484,21,
2022,163274913,168135477,21,
2022,171043666,175842351,3,
2022,170875744,175677105,18,
2022,172045778,176823068,27,
2022,172045778,176823069,27,
2022,172045779,176823068,27,
2022,172045779,176823069,27,
2022,172999070,177771386,3,
2022,172999070,177771387,3,
2022,172999071,177771386,3,
2022,172999071,177771387,3,
2022,181548240,186210131,16,
2022,170956747,175757276,3,
2022,162251909,167129198,19,
2022,172350150,177130821,3,
2022,172350154,177130825,24,
2022,172350161,177130834,21,
2022,172350164,177130837,16,
2022,162909014,167777035,18,
2022,162909015,167777035,18,
2022,162909016,167777035,18,
2022,162857555,167725436,3,
2022,179958034,184639094,24,
2022,172350166,177130840,14,
2022,172350168,177130842,24,
2022,172350174,177130848,3,
2022,172350176,177130853,24,
2022,172350176,177130854,24,
2022,172350180,177130859,18,
2022,172350182,177130861,16,
2022,172350184,177130863,13,
2022,172350191,177130869,21,
2022,174175169,178941972,3,
2022,174175170,178941973,24,
2022,174175170,178941974,24,
2022,174175171,178941973,24,
2022,174175171,178941974,24,
2022,174175174,178941975,24,
2022,174175174,178941976,24,
2022,174175176,178941978,24,
2022,174175179,178941981,18,
2022,174175179,178941982,24,
2022,174175180,178941983,24,
2022,174175180,178941984,24,
2022,174175182,178941986,24,
2022,174175183,178941987,24,
2022,174175184,178941988,24,
2022,174175185,178941989,24,
2022,171043667,175842352,3,
2022,174175186,178941990,3,
2022,186698303,191293543,16,
2022,174175190,178941994,21,
2022,174175191,178941995,1,
2022,174175192,178941996,3,
2022,174175195,178941999,21,
2022,174175197,178942003,24,
2022,174175197,178942004,24,
2022,174175199,178942006,18,
2022,174175200,178942007,18,
2022,174175201,178942008,17,
2022,175436604,180182166,18,
2022,175436613,180182175,15,
2022,175436614,180182175,15,
2022,175436621,180182180,24,
2022,175436624,180182183,24,
2022,175436624,180182184,24,
2022,175436626,180182186,24,
2022,175436626,180182187,24,
2022,175436630,180182191,3,
2022,175436637,180182199,24,
2022,175436638,180182200,24,
2022,175436641,180182203,24,
2022,175436642,180182204,25,
2022,175436642,180182205,19,
2022,175436643,180182204,19,
2022,175436643,180182205,25,
2022,175436647,180182209,21,
2022,175436652,180182215,24,
2022,175436653,180182216,24,
2022,175436655,180182218,1,
2022,175436656,180182218,1,
2022,175436657,180182218,1,
2022,175436660,180182220,18,
2022,175436664,180182221,21,
2022,175436668,180182226,24,
2022,175436669,180182227,24,
2022,175436670,180182228,24,
2022,175436671,180182229,3,
2022,175436672,180182230,16,
2022,175436673,180182230,16,
2022,175436674,180182230,16,
2022,175436677,180182233,24,
2022,175436679,180182234,18,
2022,175436683,180182238,3,
2022,176686303,181417631,24,
2022,186698304,191293543,16,
2022,162251913,167129201,18,
2022,162265663,167142499,24,
2022,168319863,173140923,27,
2022,172973156,177744763,18,
2022,170950633,175751485,15,
2022,166993942,171822391,4,
2022,172292590,177072759,3,
2022,177066923,181788754,24,
2022,176686304,181417632,24,
2022,176686306,181417634,19,
2022,176686317,181417647,19,
2022,176686322,181417653,3,
2022,176686334,181417664,13,
2022,176686346,181417676,24,
2022,179960692,184641702,3,
2022,179960695,184641705,24,
2022,179960705,184641713,17,
2022,179960708,184641716,18,
2022,179960710,184641718,3,
2022,179960715,184641722,19,
2022,179960721,184641727,18,
2022,179960721,184641728,18,
2022,179960723,184641730,24,
2022,179960723,184641731,24,
2022,179960734,184641743,1,
2022,179960740,184641749,3,
2022,179960745,184641753,24,
2022,179960746,184641753,24,
2022,179960747,184641753,24,
2022,179960753,184641758,24,
2022,179960767,184641771,21,
2022,179960769,184641774,24,
2022,179960772,184641777,24,
2022,179960778,184641782,3,
2022,179960785,184641789,3,
2022,179960789,184641794,1,
2022,179960790,184641794,8,
2022,179960791,184641794,8,
2022,179960796,184641799,17,
2022,179960799,184641804,21,
2022,162425259,167298236,18,
2022,162425259,167298237,18,
2022,172292594,177072762,16,
2022,170950637,175751489,3,
2022,164675863,169530876,9,
2022,171043668,175842353,18,
2022,177306896,182029315,21,
2022,177306897,182029315,24,
2022,164744521,169598330,16,
2022,170950638,175751490,18,
2022,170956749,175757278,18,
2022,184071538,188706282,16,
2022,162326702,167202032,24,
2022,174929840,179680194,24,
2022,164067302,168924958,24,
2022,162425260,167298238,18,
2022,171043669,175842354,13,
2022,173015145,177787249,18,
2022,173015146,177787249,18,
2022,171043670,175842355,21,
2022,171043671,175842356,18,
2022,162425262,167298240,18,
2022,171043672,175842357,19,
2022,171043673,175842358,24,
2022,172638014,177416581,21,
2022,168319864,173140924,3,
2022,164067303,168924959,1,
2022,181410278,186074427,3,
2022,181410281,186074430,24,
2022,181410283,186074432,24,
2022,181410286,186074435,1,
2022,181410291,186074440,24,
2022,181410292,186074440,24,
2022,181410298,186074447,24,
2022,181410299,186074448,25,
2022,181410299,186074449,19,
2022,181410300,186074448,19,
2022,181410300,186074449,25,
2022,181410301,186074450,3,
2022,181410305,186074455,24,
