data_year,victim_id,injury_id
2022,171224823,4
2022,162963052,4
2022,163525839,5
2022,185080967,5
2022,185822031,5
2022,164217257,4
2022,168332199,4
2022,168332200,4
2022,168332202,4
2022,168332208,3
2022,168332209,4
2022,168332210,4
2022,168332212,4
2022,168332217,5
2022,168332224,4
2022,168332241,5
2022,168332246,5
2022,168332251,4
2022,168332256,4
2022,168332257,5
2022,168332264,5
2022,168332277,5
2022,168332278,5
2022,168332286,5
2022,168332288,4
2022,168332289,4
2022,168332294,4
2022,168332295,4
2022,168332296,5
2022,165634634,5
2022,168666647,4
2022,168666651,5
2022,168666652,3
2022,168666655,5
2022,168666664,4
2022,168666665,5
2022,168666670,4
2022,168666671,4
2022,168666673,5
2022,168666675,4
2022,168666677,5
2022,168666678,5
2022,168666680,4
2022,171119187,4
2022,168666682,5
2022,168319869,4
2022,168666688,6
2022,168666692,5
2022,171346699,4
2022,171109571,4
2022,172292601,5
2022,164108196,5
2022,163525844,5
2022,168666708,5
2022,171109572,5
2022,168666709,5
2022,172638021,4
2022,172358898,5
2022,164598653,1
2022,168666720,4
2022,168666722,4
2022,168666723,3
2022,168666732,4
2022,168666733,5
2022,168666744,5
2022,168666748,5
2022,164598653,3
2022,164598654,4
2022,184071545,6
2022,163525847,2
2022,163525847,6
2022,163274921,5
2022,163274922,3
2022,174774868,5
2022,174774869,5
2022,164217261,5
2022,172973163,4
2022,170008030,8
2022,174927566,5
2022,170008033,5
2022,170008036,4
2022,170008037,4
2022,170008038,4
2022,170008039,5
2022,170008044,4
2022,170008050,4
2022,170008052,4
2022,170008056,5
2022,170008064,4
2022,170008065,4
2022,170008067,4
2022,170008072,6
2022,170008074,4
2022,170008078,4
2022,170008083,6
2022,170008088,4
2022,170008095,4
2022,170008103,4
2022,170008106,4
2022,170008110,5
2022,164675872,4
2022,164957215,8
2022,164217262,3
2022,170008113,4
2022,170008114,4
2022,170008116,4
2022,170008117,4
2022,170008118,4
2022,170008119,4
2022,170008120,4
2022,171805311,6
2022,171805316,4
2022,171805320,4
2022,171805321,4
2022,171805322,4
2022,171805328,6
2022,167086482,4
2022,171805329,4
2022,171805332,4
2022,171805333,4
2022,171805334,4
2022,171805335,4
2022,171805338,4
2022,171805347,4
2022,171805350,6
2022,171805354,3
2022,171805360,4
2022,171805362,4
2022,171805372,4
2022,171805376,5
2022,171805380,5
2022,171805381,5
2022,171805387,5
2022,171805390,6
2022,171805392,4
2022,171805393,5
2022,173439423,4
2022,173439426,4
2022,173439430,4
2022,173439443,5
2022,173439444,4
2022,173439451,4
2022,173439467,4
2022,173439469,5
2022,173439471,4
2022,173439472,4
2022,173439482,6
2022,173439483,4
2022,173439492,4
2022,184071547,4
2022,168470299,5
2022,173439497,4
2022,164530220,5
2022,169656640,4
2022,173439503,4
2022,173439504,5
2022,173439505,5
2022,173439506,5
2022,169656641,4
2022,164108209,5
2022,168319875,4
2022,164008378,4
